Lead_ID,Location,College,Year_of_Study,Program_Interest,Lead_Source
LD15585,Agra,Agra College,1st,Electric Vehicle,Google Form
LD15586,Srinagar,National Institute of Technology Srinagar,1st,Accounting,College
LD15587,Goa,Goa University,4th,Robotics,Google Form
LD15588,Rishikesh,Uttarakhand Sanskrit University,3rd,Finance,College
LD15589,Mysore,JSS Academy of Higher Education & Research,2nd,Accounting,Instagram
LD15590,Shimla,Himachal Pradesh University,3rd,Finance,Mass-Mailing
LD15591,Shimla,Himachal Pradesh University,3rd,Software Engineering,Mass-Mailing
LD15592,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",4th,Finance,WhatsApp
LD15593,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Electric Vehicle,WhatsApp
LD15594,Shimla,St. Bede's College,2nd,Electric Vehicle,Mass-Mailing
LD15595,Udaipur,Mohanlal Sukhadia University,4th,Software Engineering,Collaboration
LD15596,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Prompt Engineering,Collaboration
LD15597,Lucknow,King George's Medical University,2nd,Business Analytics,WhatsApp
LD15598,Pune,Fergusson College,4th,Accounting,Instagram
LD15599,Bangalore,Indian Institute of Management Bangalore,1st,Data Science,Mass-Mailing
LD15600,Pune,Indian Institute of Technology Pune,1st,AI,LinkedIn
LD15601,Rishikesh,Sri Hemkunt Sahib Public School,2nd,Finance,Google Form
LD15602,Amritsar,Guru Nanak Dev University,4th,Robotics,College
LD15603,Jaipur,Malaviya National Institute of Technology Jaipur,2nd,Data Analytics,Collaboration
LD15604,Delhi,Indian Institute of Technology Delhi,4th,Finance,LinkedIn
LD15605,Udaipur,Pacific University,3rd,Data Science,Google Form
LD15606,Bangalore,Indian Institute of Science,2nd,Prompt Engineering,WhatsApp
LD15607,Mysore,"National Institute of Engineering, Mysore",2nd,Software Engineering,Collaboration
LD15608,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Data Analytics,College
LD15609,Pune,Symbiosis International University,1st,Robotics,Mass-Mailing
LD15610,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Business Analytics,Collaboration
LD15611,Lucknow,Indian Institute of Management Lucknow,3rd,Prompt Engineering,WhatsApp
LD15612,Agra,Dr. Bhimrao Ambedkar University,3rd,Prompt Engineering,Instagram
LD15613,Agra,Hindustan College of Science and Technology,4th,Software Engineering,College
LD15614,Rishikesh,Uttarakhand Sanskrit University,4th,Electric Vehicle,WhatsApp
LD15615,Goa,Goa College of Engineering,3rd,Software Engineering,Collaboration
LD15616,Amritsar,"Khalsa College, Amritsar",3rd,Business Analytics,Collaboration
LD15617,Jaipur,University of Rajasthan,2nd,Software Engineering,Collaboration
LD15618,Kolkata,Jadavpur University,2nd,Data Analytics,Mass-Mailing
LD15619,Hyderabad,Indian Institute of Technology Hyderabad,1st,Robotics,LinkedIn
LD15620,Shimla,Indira Gandhi Medical College,1st,Software Engineering,College
LD15621,Amritsar,"Khalsa College, Amritsar",3rd,Prompt Engineering,Mass-Mailing
LD15622,Jaipur,Manipal University Jaipur,3rd,Robotics,College
LD15623,Lucknow,Indian Institute of Management Lucknow,1st,Prompt Engineering,WhatsApp
LD15624,Bangalore,Christ University,3rd,Data Science,Collaboration
LD15625,Rishikesh,Parmarth Niketan,2nd,Electric Vehicle,College
LD15626,Amritsar,"Khalsa College, Amritsar",4th,Electric Vehicle,College
LD15627,Kolkata,Indian Statistical Institute,1st,Business Analytics,WhatsApp
LD15628,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,1st,AI,LinkedIn
LD15629,Amritsar,BBK DAV College for Women,1st,Software Engineering,Google Form
LD15630,Chennai,Madras Christian College,2nd,Electric Vehicle,WhatsApp
LD15631,Mysore,"National Institute of Engineering, Mysore",2nd,Business Analytics,WhatsApp
LD15632,Jaipur,"Birla Institute of Technology and Science, Pilani",3rd,Software Engineering,Instagram
LD15633,Ahmedabad,Gujarat University,3rd,Software Engineering,WhatsApp
LD15634,Goa,Goa College of Engineering,2nd,Business Analytics,Google Form
LD15635,Mysore,University of Mysore,2nd,Data Science,Instagram
LD15636,Varanasi,Sampurnanand Sanskrit University,1st,Prompt Engineering,College
LD15637,Delhi,Jamia Millia Islamia,1st,Software Engineering,LinkedIn
LD15638,Goa,Goa College of Engineering,2nd,Software Engineering,Instagram
LD15639,Shimla,Himachal Pradesh University,1st,Finance,LinkedIn
LD15640,Delhi,Indian Institute of Technology Delhi,4th,Prompt Engineering,College
LD15641,Mysore,JSS Academy of Higher Education & Research,4th,Prompt Engineering,Collaboration
LD15642,Jaipur,University of Rajasthan,1st,AI,Collaboration
LD15643,Lucknow,Indian Institute of Management Lucknow,2nd,Software Engineering,Collaboration
LD15644,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,3rd,Data Science,Collaboration
LD15645,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Data Analytics,College
LD15646,Hyderabad,Osmania University,2nd,Data Science,LinkedIn
LD15647,Srinagar,National Institute of Technology Srinagar,1st,AI,College
LD15648,Mysore,University of Mysore,4th,Electric Vehicle,LinkedIn
LD15649,Rishikesh,Parmarth Niketan,1st,Software Engineering,Google Form
LD15650,Srinagar,University of Kashmir,2nd,Finance,Instagram
LD15651,Mysore,JSS Academy of Higher Education & Research,3rd,Electric Vehicle,LinkedIn
LD15652,Pune,Indian Institute of Technology Pune,3rd,AI,College
LD15653,Lucknow,Babasaheb Bhimrao Ambedkar University,3rd,Accounting,College
LD15654,Varanasi,Sampurnanand Sanskrit University,3rd,Business Analytics,WhatsApp
LD15655,Lucknow,"Amity University, Lucknow",4th,Data Analytics,WhatsApp
LD15656,Udaipur,Pacific University,3rd,Robotics,LinkedIn
LD15657,Hyderabad,University of Hyderabad,4th,Robotics,Collaboration
LD15658,Lucknow,King George's Medical University,4th,Prompt Engineering,Mass-Mailing
LD15659,Ahmedabad,Nirma University,1st,Business Analytics,College
LD15660,Ahmedabad,Gujarat University,4th,Robotics,Collaboration
LD15661,Mysore,Mahajana Education Society,2nd,Data Science,College
LD15662,Varanasi,Mahatma Gandhi Kashi Vidyapith,1st,Software Engineering,Instagram
LD15663,Mumbai,University of Mumbai,3rd,Data Analytics,Instagram
LD15664,Amritsar,Sri Guru Ram Das University of Health Sciences,2nd,Data Analytics,LinkedIn
LD15665,Srinagar,University of Kashmir,4th,Finance,Google Form
LD15666,Rishikesh,Parmarth Niketan,1st,Business Analytics,LinkedIn
LD15667,Varanasi,Ashoka Institute of Technology and Management,4th,Finance,WhatsApp
LD15668,Bangalore,Bangalore University,4th,Robotics,LinkedIn
LD15669,Mysore,"National Institute of Engineering, Mysore",2nd,AI,Google Form
LD15670,Shimla,Himachal Pradesh University,2nd,Accounting,LinkedIn
LD15671,Mumbai,Indian Institute of Technology Bombay,4th,AI,Google Form
LD15672,Varanasi,Sampurnanand Sanskrit University,3rd,Data Science,Collaboration
LD15673,Jaipur,"St. Xavier's College, Jaipur",3rd,Business Analytics,Google Form
LD15674,Srinagar,Amar Singh College,3rd,Business Analytics,Google Form
LD15675,Udaipur,Maharana Pratap University of Agriculture and Technology,1st,Data Science,Mass-Mailing
LD15676,Kolkata,Jadavpur University,1st,Data Science,College
LD15677,Mysore,All India Institute of Speech and Hearing,2nd,Prompt Engineering,College
LD15678,Shimla,"DAV Centenary Public School, Shimla",2nd,Data Science,Instagram
LD15679,Udaipur,Vidya Bhawan Polytechnic College,4th,Data Science,LinkedIn
LD15680,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,3rd,Data Analytics,Instagram
LD15681,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,4th,Finance,College
LD15682,Rishikesh,Sri Hemkunt Sahib Public School,4th,Business Analytics,LinkedIn
LD15683,Pune,"College of Engineering, Pune",2nd,Data Science,College
LD15684,Mumbai,St. Xavier's College,4th,Electric Vehicle,WhatsApp
LD15685,Bangalore,RV College of Engineering,1st,Robotics,College
LD15686,Jaipur,University of Rajasthan,2nd,Electric Vehicle,College
LD15687,Ahmedabad,CEPT University,3rd,Data Science,Mass-Mailing
LD15688,Rishikesh,Sri Hemkunt Sahib Public School,3rd,Robotics,Mass-Mailing
LD15689,Rishikesh,Uttarakhand Sanskrit University,3rd,Finance,Collaboration
LD15690,Agra,Hindustan College of Science and Technology,3rd,Robotics,LinkedIn
LD15691,Srinagar,National Institute of Technology Srinagar,3rd,Finance,Mass-Mailing
LD15692,Goa,Goa College of Engineering,1st,Data Analytics,Instagram
LD15693,Varanasi,Central Hindu School,1st,Robotics,Mass-Mailing
LD15694,Udaipur,Vidya Bhawan Polytechnic College,1st,AI,Collaboration
LD15695,Mumbai,Tata Institute of Social Sciences,3rd,Software Engineering,LinkedIn
LD15696,Jaipur,University of Rajasthan,2nd,Electric Vehicle,Mass-Mailing
LD15697,Hyderabad,Indian Institute of Technology Hyderabad,2nd,AI,Google Form
LD15698,Lucknow,King George's Medical University,4th,Prompt Engineering,LinkedIn
LD15699,Delhi,All India Institute of Medical Sciences,1st,Prompt Engineering,Google Form
LD15700,Ahmedabad,Indian Institute of Management Ahmedabad,1st,Data Analytics,LinkedIn
LD15701,Hyderabad,University of Hyderabad,3rd,Finance,Instagram
LD15702,Mumbai,Indian Institute of Technology Bombay,2nd,Data Analytics,LinkedIn
LD15703,Bangalore,Indian Institute of Management Bangalore,2nd,Prompt Engineering,Collaboration
LD15704,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,Prompt Engineering,WhatsApp
LD15705,Mumbai,St. Xavier's College,1st,Robotics,Collaboration
LD15706,Varanasi,Mahatma Gandhi Kashi Vidyapith,1st,Data Analytics,Mass-Mailing
LD15707,Delhi,University of Delhi,1st,Software Engineering,College
LD15708,Agra,Hindustan College of Science and Technology,2nd,Business Analytics,LinkedIn
LD15709,Agra,Dayalbagh Educational Institute,3rd,Finance,Collaboration
LD15710,Srinagar,Amar Singh College,1st,Electric Vehicle,Instagram
LD15711,Mysore,Mahajana Education Society,1st,Software Engineering,WhatsApp
LD15712,Rishikesh,Dev Sanskriti Vishwavidyalaya,2nd,Prompt Engineering,Google Form
LD15713,Mumbai,Indian Institute of Technology Bombay,3rd,Accounting,Instagram
LD15714,Mumbai,Tata Institute of Social Sciences,1st,Prompt Engineering,LinkedIn
LD15715,Delhi,Jawaharlal Nehru University,2nd,Robotics,College
LD15716,Udaipur,Mohanlal Sukhadia University,2nd,Data Science,Collaboration
LD15717,Kolkata,Presidency University,4th,Robotics,Mass-Mailing
LD15718,Mysore,JSS Academy of Higher Education & Research,2nd,Electric Vehicle,WhatsApp
LD15719,Goa,"Birla Institute of Technology and Science, Goa",3rd,Data Science,College
LD15720,Udaipur,Pacific University,2nd,Finance,Collaboration
LD15721,Kolkata,University of Calcutta,4th,AI,Mass-Mailing
LD15722,Rishikesh,Uttarakhand Sanskrit University,1st,Robotics,WhatsApp
LD15723,Rishikesh,Parmarth Niketan,3rd,AI,College
LD15724,Kolkata,Indian Institute of Technology Kharagpur,2nd,Robotics,Mass-Mailing
LD15725,Mumbai,Indian Institute of Technology Bombay,1st,AI,Collaboration
LD15726,Goa,National Institute of Oceanography,1st,Software Engineering,Collaboration
LD15727,Bangalore,Christ University,2nd,Robotics,LinkedIn
LD15728,Amritsar,"Khalsa College, Amritsar",1st,Prompt Engineering,WhatsApp
LD15729,Lucknow,King George's Medical University,1st,Robotics,Instagram
LD15730,Srinagar,"Government Medical College, Srinagar",3rd,Finance,Mass-Mailing
LD15731,Mumbai,University of Mumbai,3rd,Robotics,WhatsApp
LD15732,Shimla,Indira Gandhi Medical College,1st,Electric Vehicle,Mass-Mailing
LD15733,Udaipur,Mohanlal Sukhadia University,3rd,Data Analytics,Mass-Mailing
LD15734,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",2nd,Finance,LinkedIn
LD15735,Kolkata,Indian Statistical Institute,3rd,Accounting,Collaboration
LD15736,Kolkata,Indian Institute of Technology Kharagpur,3rd,Software Engineering,LinkedIn
LD15737,Mumbai,University of Mumbai,4th,Data Analytics,WhatsApp
LD15738,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,2nd,Business Analytics,LinkedIn
LD15739,Kolkata,Indian Institute of Technology Kharagpur,1st,Accounting,WhatsApp
LD15740,Jaipur,Malaviya National Institute of Technology Jaipur,4th,Software Engineering,Instagram
LD15741,Udaipur,Vidya Bhawan Polytechnic College,1st,Prompt Engineering,Google Form
LD15742,Amritsar,Guru Nanak Dev University,2nd,Data Analytics,Instagram
LD15743,Ahmedabad,Indian Institute of Technology Gandhinagar,1st,Data Science,College
LD15744,Ahmedabad,Gujarat University,3rd,Robotics,WhatsApp
LD15745,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,1st,AI,Mass-Mailing
LD15746,Agra,Dayalbagh Educational Institute,3rd,Prompt Engineering,WhatsApp
LD15747,Ahmedabad,CEPT University,1st,Business Analytics,Google Form
LD15748,Chennai,Anna University,3rd,AI,LinkedIn
LD15749,Chennai,Loyola College,2nd,Business Analytics,Mass-Mailing
LD15750,Udaipur,Mohanlal Sukhadia University,4th,Accounting,Instagram
LD15751,Srinagar,"Government Medical College, Srinagar",3rd,Software Engineering,Instagram
LD15752,Mumbai,University of Mumbai,4th,Accounting,Mass-Mailing
LD15753,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",2nd,Business Analytics,Instagram
LD15754,Srinagar,University of Kashmir,4th,Prompt Engineering,College
LD15755,Jaipur,Manipal University Jaipur,4th,Data Analytics,Google Form
LD15756,Bangalore,Indian Institute of Science,4th,AI,Collaboration
LD15757,Goa,Goa University,3rd,Finance,College
LD15758,Pune,Indian Institute of Technology Pune,2nd,Finance,Google Form
LD15759,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Prompt Engineering,WhatsApp
LD15760,Mumbai,Tata Institute of Social Sciences,4th,AI,Instagram
LD15761,Varanasi,Mahatma Gandhi Kashi Vidyapith,2nd,Data Science,LinkedIn
LD15762,Chennai,Anna University,2nd,Software Engineering,Google Form
LD15763,Pune,Indian Institute of Technology Pune,4th,Data Analytics,Google Form
LD15764,Goa,"Birla Institute of Technology and Science, Goa",1st,Data Science,LinkedIn
LD15765,Jaipur,"St. Xavier's College, Jaipur",1st,Electric Vehicle,WhatsApp
LD15766,Agra,Dayalbagh Educational Institute,1st,Data Science,College
LD15767,Hyderabad,Indian Institute of Technology Hyderabad,1st,Software Engineering,Mass-Mailing
LD15768,Kolkata,Indian Statistical Institute,1st,Prompt Engineering,Collaboration
LD15769,Chennai,Madras Christian College,4th,Business Analytics,Google Form
LD15770,Shimla,Himachal Pradesh University,4th,Prompt Engineering,Mass-Mailing
LD15771,Mysore,University of Mysore,2nd,Robotics,Collaboration
LD15772,Agra,Dr. Bhimrao Ambedkar University,2nd,Finance,Collaboration
LD15773,Jaipur,"Birla Institute of Technology and Science, Pilani",1st,Finance,Collaboration
LD15774,Pune,University of Pune,4th,Business Analytics,College
LD15775,Mysore,JSS Academy of Higher Education & Research,1st,AI,Mass-Mailing
LD15776,Hyderabad,University of Hyderabad,1st,Robotics,WhatsApp
LD15777,Varanasi,Sampurnanand Sanskrit University,3rd,Robotics,Google Form
LD15778,Bangalore,Indian Institute of Management Bangalore,2nd,Prompt Engineering,LinkedIn
LD15779,Shimla,"DAV Centenary Public School, Shimla",3rd,Finance,College
LD15780,Kolkata,Indian Statistical Institute,3rd,Finance,WhatsApp
LD15781,Lucknow,"Amity University, Lucknow",3rd,Data Science,WhatsApp
LD15782,Mumbai,Tata Institute of Social Sciences,3rd,Data Science,College
LD15783,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,1st,Prompt Engineering,WhatsApp
LD15784,Goa,Goa College of Engineering,1st,Electric Vehicle,Instagram
LD15785,Goa,Padre Conceicao College of Engineering,2nd,Data Analytics,LinkedIn
LD15786,Varanasi,Mahatma Gandhi Kashi Vidyapith,3rd,Data Science,Mass-Mailing
LD15787,Kolkata,Jadavpur University,1st,Finance,Google Form
LD15788,Udaipur,Mohanlal Sukhadia University,1st,Electric Vehicle,Collaboration
LD15789,Chennai,Indian Institute of Technology Madras,2nd,Electric Vehicle,LinkedIn
LD15790,Mysore,University of Mysore,3rd,Software Engineering,College
LD15791,Mumbai,Narsee Monjee Institute of Management Studies,2nd,Electric Vehicle,Collaboration
LD15792,Delhi,Jamia Millia Islamia,1st,Accounting,Collaboration
LD15793,Bangalore,Christ University,1st,Prompt Engineering,Mass-Mailing
LD15794,Udaipur,Mohanlal Sukhadia University,2nd,Software Engineering,Mass-Mailing
LD15795,Srinagar,National Institute of Technology Srinagar,3rd,Accounting,Mass-Mailing
LD15796,Chennai,University of Madras,3rd,Finance,College
LD15797,Varanasi,Sampurnanand Sanskrit University,2nd,Robotics,LinkedIn
LD15798,Rishikesh,"All India Institute of Medical Sciences, Rishikesh",4th,Robotics,LinkedIn
LD15799,Agra,St. John's College,4th,AI,College
LD15800,Mysore,JSS Academy of Higher Education & Research,2nd,AI,Collaboration
LD15801,Lucknow,"Amity University, Lucknow",1st,Prompt Engineering,Collaboration
LD15802,Hyderabad,Osmania University,2nd,Finance,Google Form
LD15803,Bangalore,RV College of Engineering,4th,Software Engineering,WhatsApp
LD15804,Udaipur,Mohanlal Sukhadia University,1st,Robotics,Mass-Mailing
LD15805,Udaipur,Pacific University,4th,Data Analytics,College
LD15806,Jaipur,Manipal University Jaipur,4th,Prompt Engineering,Collaboration
LD15807,Chennai,University of Madras,1st,Electric Vehicle,LinkedIn
LD15808,Hyderabad,Indian Institute of Technology Hyderabad,2nd,Robotics,Google Form
LD15809,Ahmedabad,Indian Institute of Management Ahmedabad,3rd,Data Science,College
LD15810,Shimla,St. Bede's College,1st,Business Analytics,College
LD15811,Kolkata,University of Calcutta,2nd,Business Analytics,Mass-Mailing
LD15812,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Data Analytics,Google Form
LD15813,Bangalore,Indian Institute of Management Bangalore,4th,Electric Vehicle,WhatsApp
LD15814,Amritsar,Sri Guru Ram Das University of Health Sciences,3rd,Data Science,LinkedIn
LD15815,Pune,Symbiosis International University,1st,Data Analytics,LinkedIn
LD15816,Varanasi,Central Hindu School,2nd,Data Analytics,LinkedIn
LD15817,Amritsar,Guru Nanak Dev University,2nd,Prompt Engineering,Mass-Mailing
LD15818,Ahmedabad,Indian Institute of Technology Gandhinagar,2nd,Accounting,WhatsApp
LD15819,Udaipur,Vidya Bhawan Polytechnic College,2nd,AI,Instagram
LD15820,Ahmedabad,Nirma University,2nd,Prompt Engineering,LinkedIn
LD15821,Shimla,St. Bede's College,4th,Robotics,Google Form
LD15822,Bangalore,Indian Institute of Management Bangalore,4th,Prompt Engineering,WhatsApp
LD15823,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,3rd,Robotics,LinkedIn
LD15824,Bangalore,Christ University,2nd,Accounting,College
LD15825,Mysore,All India Institute of Speech and Hearing,4th,Data Analytics,College
LD15826,Shimla,"DAV Centenary Public School, Shimla",4th,Accounting,WhatsApp
LD15827,Chennai,University of Madras,2nd,Data Science,Instagram
LD15828,Shimla,"DAV Centenary Public School, Shimla",3rd,Data Analytics,Mass-Mailing
LD15829,Varanasi,Banaras Hindu University,3rd,Data Analytics,WhatsApp
LD15830,Udaipur,Maharana Pratap University of Agriculture and Technology,4th,Data Analytics,Collaboration
LD15831,Delhi,All India Institute of Medical Sciences,1st,Accounting,Google Form
LD15832,Varanasi,Sampurnanand Sanskrit University,2nd,Electric Vehicle,Collaboration
LD15833,Lucknow,"Amity University, Lucknow",1st,Software Engineering,Instagram
LD15834,Amritsar,"Khalsa College, Amritsar",1st,Data Science,Google Form
LD15835,Mysore,JSS Academy of Higher Education & Research,4th,AI,Google Form
LD15836,Hyderabad,"Jawaharlal Nehru Technological University, Hyderabad",3rd,Data Science,College
LD15837,Mumbai,University of Mumbai,2nd,Data Analytics,Google Form
LD15838,Delhi,University of Delhi,2nd,Robotics,Instagram
LD15839,Amritsar,Sri Guru Ram Das University of Health Sciences,4th,Data Science,College
LD15840,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",4th,Accounting,LinkedIn
LD15841,Bangalore,Christ University,1st,Robotics,WhatsApp
LD15842,Hyderabad,University of Hyderabad,1st,Data Analytics,Collaboration
LD15843,Kolkata,Indian Statistical Institute,3rd,Finance,LinkedIn
LD15844,Agra,Dayalbagh Educational Institute,1st,AI,Instagram
LD15845,Goa,Padre Conceicao College of Engineering,3rd,Business Analytics,Mass-Mailing
LD15846,Chennai,University of Madras,4th,AI,WhatsApp
LD15847,Amritsar,"Hindu College, Amritsar",1st,Robotics,Mass-Mailing
LD15848,Kolkata,Jadavpur University,3rd,AI,Collaboration
LD15849,Shimla,St. Bede's College,2nd,Data Analytics,Mass-Mailing
LD15850,Chennai,University of Madras,4th,Robotics,Instagram
LD15851,Udaipur,Mohanlal Sukhadia University,2nd,Finance,WhatsApp
LD15852,Lucknow,"Amity University, Lucknow",1st,Robotics,LinkedIn
LD15853,Mumbai,Narsee Monjee Institute of Management Studies,3rd,Data Analytics,Collaboration
LD15854,Mumbai,Indian Institute of Technology Bombay,1st,Finance,Instagram
LD15855,Agra,Dayalbagh Educational Institute,3rd,AI,Google Form
LD15856,Udaipur,Pacific University,2nd,Data Analytics,WhatsApp
LD15857,Bangalore,Bangalore University,1st,Finance,Instagram
LD15858,Lucknow,Babasaheb Bhimrao Ambedkar University,4th,Finance,College
LD15859,Srinagar,National Institute of Technology Srinagar,2nd,Software Engineering,LinkedIn
LD15860,Agra,Agra College,1st,Data Science,College
LD15861,Shimla,Himachal Pradesh University,4th,Robotics,Instagram
LD15862,Delhi,Indian Institute of Technology Delhi,3rd,Business Analytics,Instagram
LD15863,Varanasi,Banaras Hindu University,3rd,Data Science,Google Form
LD15864,Hyderabad,Indian Institute of Technology Hyderabad,4th,AI,Collaboration
LD15865,Varanasi,Banaras Hindu University,2nd,Software Engineering,Mass-Mailing
LD15866,Srinagar,University of Kashmir,2nd,Electric Vehicle,Google Form
LD15867,Hyderabad,Osmania University,3rd,Business Analytics,Collaboration
LD15868,Udaipur,Vidya Bhawan Polytechnic College,4th,Robotics,Mass-Mailing
LD15869,Kolkata,Indian Statistical Institute,3rd,Prompt Engineering,Instagram
LD15870,Udaipur,Mohanlal Sukhadia University,1st,Accounting,LinkedIn
LD15871,Kolkata,University of Calcutta,3rd,Business Analytics,LinkedIn
LD15872,Jaipur,Malaviya National Institute of Technology Jaipur,4th,Finance,College
LD15873,Chennai,University of Madras,2nd,Prompt Engineering,Google Form
LD15874,Amritsar,"Khalsa College, Amritsar",4th,Data Analytics,LinkedIn
LD15875,Lucknow,Babasaheb Bhimrao Ambedkar University,1st,Finance,Mass-Mailing
LD15876,Mumbai,University of Mumbai,1st,Electric Vehicle,Mass-Mailing
LD15877,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Accounting,LinkedIn
LD15878,Bangalore,Christ University,3rd,Accounting,College
LD15879,Lucknow,Indian Institute of Management Lucknow,4th,Electric Vehicle,LinkedIn
LD15880,Mysore,University of Mysore,3rd,AI,Instagram
LD15881,Jaipur,Malaviya National Institute of Technology Jaipur,3rd,Robotics,Instagram
LD15882,Jaipur,University of Rajasthan,2nd,Electric Vehicle,Collaboration
LD15883,Pune,Symbiosis International University,1st,Prompt Engineering,Google Form
LD15884,Hyderabad,"Birla Institute of Technology and Science, Hyderabad",3rd,Business Analytics,WhatsApp
LD15885,Varanasi,Central Hindu School,2nd,Robotics,Instagram
LD15886,Rishikesh,Uttarakhand Sanskrit University,1st,Data Science,LinkedIn
LD15887,Bangalore,Indian Institute of Science,1st,Data Analytics,Google Form
LD15888,Srinagar,"Government Medical College, Srinagar",3rd,Robotics,Google Form
LD15889,Bangalore,Indian Institute of Management Bangalore,1st,Finance,College
LD15890,Agra,Agra College,2nd,Data Science,Google Form
LD15891,Srinagar,Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,4th,Data Analytics,Instagram
LD15892,Lucknow,University of Lucknow,2nd,AI,LinkedIn
LD15893,Delhi,Jawaharlal Nehru University,4th,Prompt Engineering,WhatsApp
LD15894,Pune,Fergusson College,3rd,AI,Instagram
LD15895,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,1st,Prompt Engineering,LinkedIn
LD15896,Kolkata,Indian Statistical Institute,1st,AI,Mass-Mailing
LD15897,Agra,Agra College,1st,Software Engineering,WhatsApp
LD15898,Ahmedabad,Indian Institute of Management Ahmedabad,2nd,AI,College
LD15899,Pune,University of Pune,1st,Software Engineering,LinkedIn
LD15900,Udaipur,Maharana Pratap University of Agriculture and Technology,3rd,Business Analytics,Mass-Mailing
LD15901,Jaipur,University of Rajasthan,2nd,Data Analytics,Mass-Mailing
LD15902,Chennai,Loyola College,3rd,Prompt Engineering,Collaboration
LD15903,Goa,"Birla Institute of Technology and Science, Goa",1st,Finance,WhatsApp
LD15904,Mumbai,Tata Institute of Social Sciences,4th,Electric Vehicle,Google Form
LD15905,Pune,Symbiosis International University,4th,Business Analytics,Mass-Mailing
LD15906,Bangalore,Christ University,2nd,Software Engineering,Instagram
LD15907,Amritsar,"Hindu College, Amritsar",1st,Robotics,Collaboration
LD15908,Udaipur,Vidya Bhawan Polytechnic College,1st,Prompt Engineering,Google Form
LD15909,Amritsar,"Hindu College, Amritsar",2nd,Data Analytics,LinkedIn
LD15910,Kolkata,Presidency University,3rd,AI,Google Form
LD15911,Varanasi,Ashoka Institute of Technology and Management,3rd,Data Analytics,College
LD15912,Pune,Symbiosis International University,4th,Prompt Engineering,Collaboration
LD15913,Mysore,University of Mysore,2nd,Electric Vehicle,College
LD15914,Amritsar,Guru Nanak Dev University,1st,Accounting,Instagram
LD15915,Pune,Symbiosis International University,3rd,Electric Vehicle,Mass-Mailing
LD15916,Udaipur,Vidya Bhawan Polytechnic College,3rd,Robotics,Instagram
LD15917,Hyderabad,Indian Institute of Technology Hyderabad,2nd,Finance,Google Form
LD15918,Amritsar,Sri Guru Ram Das University of Health Sciences,4th,Robotics,Collaboration
LD15919,Mysore,JSS Academy of Higher Education & Research,1st,Finance,WhatsApp
LD15920,Amritsar,"Khalsa College, Amritsar",3rd,Prompt Engineering,Collaboration
LD15921,Srinagar,University of Kashmir,3rd,Finance,College
LD15922,Shimla,Himachal Pradesh University,4th,AI,Google Form
LD15923,Varanasi,Central Hindu School,2nd,Electric Vehicle,Collaboration
LD15924,Amritsar,"Hindu College, Amritsar",2nd,Data Science,Collaboration
LD15925,Kolkata,University of Calcutta,3rd,Software Engineering,College
LD15926,Shimla,St. Bede's College,4th,Electric Vehicle,Google Form
LD15927,Ahmedabad,Indian Institute of Technology Gandhinagar,2nd,Prompt Engineering,Instagram
LD15928,Srinagar,"Government Medical College, Srinagar",1st,Business Analytics,College
LD15929,Mumbai,St. Xavier's College,1st,Business Analytics,LinkedIn
LD15930,Delhi,All India Institute of Medical Sciences,2nd,Business Analytics,Google Form
LD15931,Goa,National Institute of Oceanography,3rd,Business Analytics,LinkedIn
LD15932,Goa,Goa University,2nd,Data Science,College
LD15933,Rishikesh,Parmarth Niketan,4th,Software Engineering,Instagram
LD15934,Chennai,University of Madras,4th,Electric Vehicle,Google Form
LD15935,Mumbai,Indian Institute of Technology Bombay,3rd,Prompt Engineering,LinkedIn
LD15936,Srinagar,"Government Medical College, Srinagar",4th,Robotics,Mass-Mailing
LD15937,Amritsar,"Khalsa College, Amritsar",1st,Business Analytics,WhatsApp
LD15938,Udaipur,Janardan Rai Nagar Rajasthan Vidyapeeth University,4th,Electric Vehicle,Instagram
LD15939,Lucknow,University of Lucknow,1st,Software Engineering,Collaboration
